date,passengers,weekly_passengers,year,month,day,last_year_weekly_passengers,weekly_passengers_1y_change,confirmed,death,released,region,new,active,datetime
20181201,704063,0,2018,12,1,0,,0,0,0,0,0,0,2018-12-01
20181202,505504,0,2018,12,2,0,,0,0,0,0,0,0,2018-12-02
20181203,878019,0,2018,12,3,0,,0,0,0,0,0,0,2018-12-03
20181204,872960,0,2018,12,4,0,,0,0,0,0,0,0,2018-12-04
20181205,908209,0,2018,12,5,0,,0,0,0,0,0,0,2018-12-05
20181206,890304,0,2018,12,6,0,,0,0,0,0,0,0,2018-12-06
20181207,895609,5654668,2018,12,7,0,inf,0,0,0,0,0,0,2018-12-07
20181208,655503,5606108,2018,12,8,0,inf,0,0,0,0,0,0,2018-12-08
20181209,459142,5559746,2018,12,9,0,inf,0,0,0,0,0,0,2018-12-09
20181210,880993,5562720,2018,12,10,0,inf,0,0,0,0,0,0,2018-12-10
20181211,864590,5554350,2018,12,11,0,inf,0,0,0,0,0,0,2018-12-11
20181212,902826,5548967,2018,12,12,0,inf,0,0,0,0,0,0,2018-12-12
20181213,894895,5553558,2018,12,13,0,inf,0,0,0,0,0,0,2018-12-13
20181214,917560,5575509,2018,12,14,0,inf,0,0,0,0,0,0,2018-12-14
20181215,700672,5620678,2018,12,15,0,inf,0,0,0,0,0,0,2018-12-15
20181216,489412,5650948,2018,12,16,0,inf,0,0,0,0,0,0,2018-12-16
20181217,877369,5647324,2018,12,17,0,inf,0,0,0,0,0,0,2018-12-17
20181218,897145,5679879,2018,12,18,0,inf,0,0,0,0,0,0,2018-12-18
20181219,895478,5672531,2018,12,19,0,inf,0,0,0,0,0,0,2018-12-19
20181220,1000591,5778227,2018,12,20,0,inf,0,0,0,0,0,0,2018-12-20
20181221,932543,5793210,2018,12,21,0,inf,0,0,0,0,0,0,2018-12-21
20181222,758580,5851118,2018,12,22,0,inf,0,0,0,0,0,0,2018-12-22
20181223,501600,5863306,2018,12,23,0,inf,0,0,0,0,0,0,2018-12-23
20181224,872544,5858481,2018,12,24,0,inf,0,0,0,0,0,0,2018-12-24
20181225,581845,5543181,2018,12,25,0,inf,0,0,0,0,0,0,2018-12-25
20181226,877802,5525505,2018,12,26,0,inf,0,0,0,0,0,0,2018-12-26
20181227,835441,5360355,2018,12,27,0,inf,0,0,0,0,0,0,2018-12-27
20181228,837431,5265243,2018,12,28,0,inf,0,0,0,0,0,0,2018-12-28
20181229,612695,5119358,2018,12,29,0,inf,0,0,0,0,0,0,2018-12-29
20181230,450143,5067901,2018,12,30,0,inf,0,0,0,0,0,0,2018-12-30
20181231,763919,4959276,2018,12,31,0,inf,0,0,0,0,0,0,2018-12-31
20191201,445883,4823314,2019,12,1,0,inf,0,0,0,0,0,0,2019-12-01
20191202,869350,4814862,2019,12,2,0,inf,0,0,0,0,0,0,2019-12-02
20191203,877528,4856949,2019,12,3,0,inf,0,0,0,0,0,0,2019-12-03
20191204,887689,4907207,2019,12,4,0,inf,0,0,0,0,0,0,2019-12-04
20191205,877347,5171859,2019,12,5,0,inf,0,0,0,0,0,0,2019-12-05
20191206,882458,5604174,2019,12,6,0,inf,0,0,0,0,0,0,2019-12-06
20191207,678283,5518538,2019,12,7,5654668,-2.4073915568517905,0,0,0,0,0,0,2019-12-07
