year,month,passengers,percent_change,passengers_last_year
2018,12,14031258,1.6764000000000001,13799914
2019,1,13428536,6.104,12656018
2019,2,11928643,2.6271,11623285
2019,3,14641822,-0.7321,14749804
2019,4,14371629,2.7595,13985696
2019,5,15311511,3.0928,14852160
2019,6,13680615,1.7132,13450189
2019,7,13975900,5.9276,13193829
2019,8,13285609,3.7632,12803773
2019,9,13279870,1.4091,13095346
2019,10,14563497,2.7639,14171809
2019,11,14492733,1.8893,14223993
2019,12,14667431,4.534,14031258
2020,1,13012450,-3.0985,13428536
2020,2,8652852,-27.461600000000004,11928643
2020,3,4467569,-69.4876,14641822
2020,4,6484487,-54.879900000000006,14371629
