year,month,bus_passengers,bus_percent_change,bus_passengers_last_year,metro_passengers,metro_percent_change,metro_passengers_last_year,region,confirmed,death,released,new,active,date
2018,12,2420,0.0,0,14031258,1.6764,13799914,대구,0,0,0,0,0,0
2019,1,2277,0.0,0,13428536,6.104,12656018,대구,0,0,0,0,0,0
2019,2,1980,0.0,0,11928643,2.6271,11623285,대구,0,0,0,0,0,0
2019,3,2504,0.0,0,14641822,-0.7321,14749804,대구,0,0,0,0,0,0
2019,4,2471,0.0,0,14371629,2.7595,13985696,대구,0,0,0,0,0,0
2019,5,2589,0.0,0,15311511,3.0928,14852160,대구,0,0,0,0,0,0
2019,12,2434,0.578512396694215,2420,14667431,4.534,14031258,대구,0,0,0,0,0,20191231
2020,1,2125,-6.67545015371102,2277,13012450,-3.0985,13428536,대구,0,0,0,0,0,20200131
2020,2,1554,-21.5151515151515,1980,8652852,-27.461600000000004,11928643,대구,2236,10,2,2236,2224,20200229
2020,3,939,-62.5,2504,4467569,-69.4876,14641822,대구,6684,114,3946,4448,2624,20200331
2020,4,1262,-48.927559692432204,2471,6484487,-54.879900000000006,14371629,대구,6852,172,6144,168,536,20200430
2020,5,1624,-37.273078408652,2589,0,0.0,0,대구,6883,185,6607,31,91,20200531
